WKT,CGI
"POLYGON ((116.4854310344828 40.14, 116.4854310344828 40.13666530447968, 116.4796551724138 40.13333060895936, 116.4738793103448 40.13666530447968, 116.4738793103448 40.14, 116.4854310344828 40.14))",32
"POLYGON ((116.4969827586207 40.14, 116.4969827586207 40.13666530447968, 116.4912068965517 40.13333060895936, 116.4854310344827 40.13666530447968, 116.4854310344827 40.14, 116.4969827586207 40.14))",33
"POLYGON ((116.5085344827586 40.14, 116.5085344827586 40.13666530447968, 116.5027586206896 40.13333060895936, 116.4969827586207 40.13666530447968, 116.4969827586207 40.14, 116.5085344827586 40.14))",34
"POLYGON ((116.5200862068966 40.14, 116.5200862068966 40.13666530447968, 116.5143103448276 40.13333060895936, 116.5085344827586 40.13666530447968, 116.5085344827586 40.14, 116.5200862068966 40.14))",35
"POLYGON ((116.5316379310345 40.14, 116.5316379310345 40.13666530447968, 116.5258620689655 40.13333060895936, 116.5200862068965 40.13666530447968, 116.5200862068965 40.14, 116.5316379310345 40.14))",36
"POLYGON ((116.5431896551724 40.14, 116.5431896551724 40.13666530447968, 116.5374137931034 40.13333060895936, 116.5316379310345 40.13666530447968, 116.5316379310345 40.14, 116.5431896551724 40.14))",37
"POLYGON ((116.5547413793103 40.14, 116.5547413793103 40.13666530447968, 116.5489655172414 40.13333060895936, 116.5431896551724 40.13666530447968, 116.5431896551724 40.14, 116.5547413793103 40.14))",38
"POLYGON ((116.5662931034483 40.14, 116.5662931034483 40.13666530447968, 116.5605172413793 40.13333060895936, 116.5547413793103 40.13666530447968, 116.5547413793103 40.14, 116.5662931034483 40.14))",39
"POLYGON ((116.5778448275862 40.14, 116.5778448275862 40.13666530447968, 116.5720689655172 40.13333060895936, 116.5662931034483 40.13666530447968, 116.5662931034483 40.14, 116.5778448275862 40.14))",40
"POLYGON ((116.5893965517241 40.14, 116.5893965517241 40.13666530447968, 116.5836206896552 40.13333060895936, 116.5778448275862 40.13666530447968, 116.5778448275862 40.14, 116.5893965517241 40.14))",41
"POLYGON ((116.6009482758621 40.14, 116.6009482758621 40.13666530447968, 116.5951724137931 40.13333060895936, 116.5893965517241 40.13666530447968, 116.5893965517241 40.14, 116.6009482758621 40.14))",42
"POLYGON ((116.6125 40.14, 116.6125 40.13666530447968, 116.606724137931 40.13333060895936, 116.6009482758621 40.13666530447968, 116.6009482758621 40.14, 116.6125 40.14))",43
"POLYGON ((116.6240517241379 40.14, 116.6240517241379 40.13666530447968, 116.618275862069 40.13333060895936, 116.6125 40.13666530447968, 116.6125 40.14, 116.6240517241379 40.14))",44
"POLYGON ((116.6356034482759 40.14, 116.6356034482759 40.13666530447968, 116.6298275862069 40.13333060895936, 116.6240517241379 40.13666530447968, 116.6240517241379 40.14, 116.6356034482759 40.14))",45
"POLYGON ((116.6471551724138 40.14, 116.6471551724138 40.13666530447968, 116.6413793103448 40.13333060895936, 116.6356034482758 40.13666530447968, 116.6356034482758 40.14, 116.6471551724138 40.14))",46
"POLYGON ((116.6587068965517 40.14, 116.6587068965517 40.13666530447968, 116.6529310344827 40.13333060895936, 116.6471551724138 40.13666530447968, 116.6471551724138 40.14, 116.6587068965517 40.14))",47
"POLYGON ((116.6702586206897 40.14, 116.6702586206897 40.13666530447968, 116.6644827586207 40.13333060895936, 116.6587068965517 40.13666530447968, 116.6587068965517 40.14, 116.6702586206897 40.14))",48
"POLYGON ((116.6818103448276 40.14, 116.6818103448276 40.13666530447968, 116.6760344827586 40.13333060895936, 116.6702586206896 40.13666530447968, 116.6702586206896 40.14, 116.6818103448276 40.14))",49
"POLYGON ((116.6933620689655 40.14, 116.6933620689655 40.13666530447968, 116.6875862068965 40.13333060895936, 116.6818103448276 40.13666530447968, 116.6818103448276 40.14, 116.6933620689655 40.14))",50
"POLYGON ((116.7049137931034 40.14, 116.7049137931034 40.13666530447968, 116.6991379310345 40.13333060895936, 116.6933620689655 40.13666530447968, 116.6933620689655 40.14, 116.7049137931034 40.14))",51
"POLYGON ((116.7164655172414 40.14, 116.7164655172414 40.13666530447968, 116.7106896551724 40.13333060895936, 116.7049137931034 40.13666530447968, 116.7049137931034 40.14, 116.7164655172414 40.14))",52
"POLYGON ((116.7280172413793 40.14, 116.7280172413793 40.13666530447968, 116.7222413793103 40.13333060895936, 116.7164655172414 40.13666530447968, 116.7164655172414 40.14, 116.7280172413793 40.14))",53
"POLYGON ((116.7395689655172 40.14, 116.7395689655172 40.13666530447968, 116.7337931034483 40.13333060895936, 116.7280172413793 40.13666530447968, 116.7280172413793 40.14, 116.7395689655172 40.14))",54
"POLYGON ((116.7511206896552 40.14, 116.7511206896552 40.13666530447968, 116.7453448275862 40.13333060895936, 116.7395689655172 40.13666530447968, 116.7395689655172 40.14, 116.7511206896552 40.14))",55
"POLYGON ((116.7626724137931 40.14, 116.7626724137931 40.13666530447968, 116.7568965517241 40.13333060895936, 116.7511206896552 40.13666530447968, 116.7511206896552 40.14, 116.7626724137931 40.14))",56
"POLYGON ((116.774224137931 40.14, 116.774224137931 40.13666530447968, 116.7684482758621 40.13333060895936, 116.7626724137931 40.13666530447968, 116.7626724137931 40.14, 116.774224137931 40.14))",57
"POLYGON ((116.115775862069 40.13666530447968, 116.1215517241379 40.13333060895936, 116.1215517241379 40.12666121791872, 116.115775862069 40.1233265223984, 116.11 40.12666121791872, 116.11 40.13333060895936, 116.115775862069 40.13666530447968))",58
"POLYGON ((116.1273275862069 40.13666530447968, 116.1331034482759 40.13333060895936, 116.1331034482759 40.12666121791872, 116.1273275862069 40.1233265223984, 116.1215517241379 40.12666121791872, 116.1215517241379 40.13333060895936, 116.1273275862069 40.13666530447968))",59
"POLYGON ((116.1388793103448 40.13666530447968, 116.1446551724138 40.13333060895936, 116.1446551724138 40.12666121791872, 116.1388793103448 40.1233265223984, 116.1331034482759 40.12666121791872, 116.1331034482759 40.13333060895936, 116.1388793103448 40.13666530447968))",60
"POLYGON ((116.1504310344828 40.13666530447968, 116.1562068965517 40.13333060895936, 116.1562068965517 40.12666121791872, 116.1504310344828 40.1233265223984, 116.1446551724138 40.12666121791872, 116.1446551724138 40.13333060895936, 116.1504310344828 40.13666530447968))",61
"POLYGON ((116.1619827586207 40.13666530447968, 116.1677586206897 40.13333060895936, 116.1677586206897 40.12666121791872, 116.1619827586207 40.1233265223984, 116.1562068965517 40.12666121791872, 116.1562068965517 40.13333060895936, 116.1619827586207 40.13666530447968))",62
"POLYGON ((116.1735344827586 40.13666530447968, 116.1793103448276 40.13333060895936, 116.1793103448276 40.12666121791872, 116.1735344827586 40.1233265223984, 116.1677586206897 40.12666121791872, 116.1677586206897 40.13333060895936, 116.1735344827586 40.13666530447968))",63
"POLYGON ((116.1850862068966 40.13666530447968, 116.1908620689655 40.13333060895936, 116.1908620689655 40.12666121791872, 116.1850862068966 40.1233265223984, 116.1793103448276 40.12666121791872, 116.1793103448276 40.13333060895936, 116.1850862068966 40.13666530447968))",64
"POLYGON ((116.1966379310345 40.13666530447968, 116.2024137931035 40.13333060895936, 116.2024137931035 40.12666121791872, 116.1966379310345 40.1233265223984, 116.1908620689655 40.12666121791872, 116.1908620689655 40.13333060895936, 116.1966379310345 40.13666530447968))",65
"POLYGON ((116.2081896551724 40.13666530447968, 116.2139655172414 40.13333060895936, 116.2139655172414 40.12666121791872, 116.2081896551724 40.1233265223984, 116.2024137931034 40.12666121791872, 116.2024137931034 40.13333060895936, 116.2081896551724 40.13666530447968))",66
"POLYGON ((116.2197413793103 40.13666530447968, 116.2255172413793 40.13333060895936, 116.2255172413793 40.12666121791872, 116.2197413793103 40.1233265223984, 116.2139655172414 40.12666121791872, 116.2139655172414 40.13333060895936, 116.2197413793103 40.13666530447968))",67
"POLYGON ((116.2312931034483 40.13666530447968, 116.2370689655173 40.13333060895936, 116.2370689655173 40.12666121791872, 116.2312931034483 40.1233265223984, 116.2255172413793 40.12666121791872, 116.2255172413793 40.13333060895936, 116.2312931034483 40.13666530447968))",68
"POLYGON ((116.2428448275862 40.13666530447968, 116.2486206896552 40.13333060895936, 116.2486206896552 40.12666121791872, 116.2428448275862 40.1233265223984, 116.2370689655172 40.12666121791872, 116.2370689655172 40.13333060895936, 116.2428448275862 40.13666530447968))",69
"POLYGON ((116.2543965517241 40.13666530447968, 116.2601724137931 40.13333060895936, 116.2601724137931 40.12666121791872, 116.2543965517241 40.1233265223984, 116.2486206896552 40.12666121791872, 116.2486206896552 40.13333060895936, 116.2543965517241 40.13666530447968))",70
"POLYGON ((116.2659482758621 40.13666530447968, 116.271724137931 40.13333060895936, 116.271724137931 40.12666121791872, 116.2659482758621 40.1233265223984, 116.2601724137931 40.12666121791872, 116.2601724137931 40.13333060895936, 116.2659482758621 40.13666530447968))",71
"POLYGON ((116.2775 40.13666530447968, 116.283275862069 40.13333060895936, 116.283275862069 40.12666121791872, 116.2775 40.1233265223984, 116.271724137931 40.12666121791872, 116.271724137931 40.13333060895936, 116.2775 40.13666530447968))",72
"POLYGON ((116.2890517241379 40.13666530447968, 116.2948275862069 40.13333060895936, 116.2948275862069 40.12666121791872, 116.2890517241379 40.1233265223984, 116.283275862069 40.12666121791872, 116.283275862069 40.13333060895936, 116.2890517241379 40.13666530447968))",73
"POLYGON ((116.3006034482759 40.13666530447968, 116.3063793103448 40.13333060895936, 116.3063793103448 40.12666121791872, 116.3006034482759 40.1233265223984, 116.2948275862069 40.12666121791872, 116.2948275862069 40.13333060895936, 116.3006034482759 40.13666530447968))",74
"POLYGON ((116.3121551724138 40.13666530447968, 116.3179310344828 40.13333060895936, 116.3179310344828 40.12666121791872, 116.3121551724138 40.1233265223984, 116.3063793103448 40.12666121791872, 116.3063793103448 40.13333060895936, 116.3121551724138 40.13666530447968))",75
"POLYGON ((116.3237068965517 40.13666530447968, 116.3294827586207 40.13333060895936, 116.3294827586207 40.12666121791872, 116.3237068965517 40.1233265223984, 116.3179310344828 40.12666121791872, 116.3179310344828 40.13333060895936, 116.3237068965517 40.13666530447968))",76
"POLYGON ((116.3352586206897 40.13666530447968, 116.3410344827586 40.13333060895936, 116.3410344827586 40.12666121791872, 116.3352586206897 40.1233265223984, 116.3294827586207 40.12666121791872, 116.3294827586207 40.13333060895936, 116.3352586206897 40.13666530447968))",77
"POLYGON ((116.3468103448276 40.13666530447968, 116.3525862068966 40.13333060895936, 116.3525862068966 40.12666121791872, 116.3468103448276 40.1233265223984, 116.3410344827586 40.12666121791872, 116.3410344827586 40.13333060895936, 116.3468103448276 40.13666530447968))",78
"POLYGON ((116.3583620689655 40.13666530447968, 116.3641379310345 40.13333060895936, 116.3641379310345 40.12666121791872, 116.3583620689655 40.1233265223984, 116.3525862068965 40.12666121791872, 116.3525862068965 40.13333060895936, 116.3583620689655 40.13666530447968))",79
"POLYGON ((116.3699137931034 40.13666530447968, 116.3756896551724 40.13333060895936, 116.3756896551724 40.12666121791872, 116.3699137931034 40.1233265223984, 116.3641379310345 40.12666121791872, 116.3641379310345 40.13333060895936, 116.3699137931034 40.13666530447968))",80
"POLYGON ((116.3814655172414 40.13666530447968, 116.3872413793104 40.13333060895936, 116.3872413793104 40.12666121791872, 116.3814655172414 40.1233265223984, 116.3756896551724 40.12666121791872, 116.3756896551724 40.13333060895936, 116.3814655172414 40.13666530447968))",81
"POLYGON ((116.3930172413793 40.13666530447968, 116.3987931034483 40.13333060895936, 116.3987931034483 40.12666121791872, 116.3930172413793 40.1233265223984, 116.3872413793103 40.12666121791872, 116.3872413793103 40.13333060895936, 116.3930172413793 40.13666530447968))",82
"POLYGON ((116.4045689655172 40.13666530447968, 116.4103448275862 40.13333060895936, 116.4103448275862 40.12666121791872, 116.4045689655172 40.1233265223984, 116.3987931034483 40.12666121791872, 116.3987931034483 40.13333060895936, 116.4045689655172 40.13666530447968))",83
"POLYGON ((116.4161206896552 40.13666530447968, 116.4218965517241 40.13333060895936, 116.4218965517241 40.12666121791872, 116.4161206896552 40.1233265223984, 116.4103448275862 40.12666121791872, 116.4103448275862 40.13333060895936, 116.4161206896552 40.13666530447968))",84
"POLYGON ((116.4276724137931 40.13666530447968, 116.4334482758621 40.13333060895936, 116.4334482758621 40.12666121791872, 116.4276724137931 40.1233265223984, 116.4218965517241 40.12666121791872, 116.4218965517241 40.13333060895936, 116.4276724137931 40.13666530447968))",85
"POLYGON ((116.439224137931 40.13666530447968, 116.445 40.13333060895936, 116.445 40.12666121791872, 116.439224137931 40.1233265223984, 116.4334482758621 40.12666121791872, 116.4334482758621 40.13333060895936, 116.439224137931 40.13666530447968))",86
"POLYGON ((116.450775862069 40.13666530447968, 116.4565517241379 40.13333060895936, 116.4565517241379 40.12666121791872, 116.450775862069 40.1233265223984, 116.445 40.12666121791872, 116.445 40.13333060895936, 116.450775862069 40.13666530447968))",87
"POLYGON ((116.4623275862069 40.13666530447968, 116.4681034482759 40.13333060895936, 116.4681034482759 40.12666121791872, 116.4623275862069 40.1233265223984, 116.4565517241379 40.12666121791872, 116.4565517241379 40.13333060895936, 116.4623275862069 40.13666530447968))",88
"POLYGON ((116.4738793103448 40.13666530447968, 116.4796551724138 40.13333060895936, 116.4796551724138 40.12666121791872, 116.4738793103448 40.1233265223984, 116.4681034482759 40.12666121791872, 116.4681034482759 40.13333060895936, 116.4738793103448 40.13666530447968))",89
"POLYGON ((116.4854310344828 40.13666530447968, 116.4912068965517 40.13333060895936, 116.4912068965517 40.12666121791872, 116.4854310344828 40.1233265223984, 116.4796551724138 40.12666121791872, 116.4796551724138 40.13333060895936, 116.4854310344828 40.13666530447968))",90
"POLYGON ((116.4969827586207 40.13666530447968, 116.5027586206897 40.13333060895936, 116.5027586206897 40.12666121791872, 116.4969827586207 40.1233265223984, 116.4912068965517 40.12666121791872, 116.4912068965517 40.13333060895936, 116.4969827586207 40.13666530447968))",91
"POLYGON ((116.5085344827586 40.13666530447968, 116.5143103448276 40.13333060895936, 116.5143103448276 40.12666121791872, 116.5085344827586 40.1233265223984, 116.5027586206896 40.12666121791872, 116.5027586206896 40.13333060895936, 116.5085344827586 40.13666530447968))",92
"POLYGON ((116.5200862068966 40.13666530447968, 116.5258620689655 40.13333060895936, 116.5258620689655 40.12666121791872, 116.5200862068966 40.1233265223984, 116.5143103448276 40.12666121791872, 116.5143103448276 40.13333060895936, 116.5200862068966 40.13666530447968))",93
"POLYGON ((116.5316379310345 40.13666530447968, 116.5374137931035 40.13333060895936, 116.5374137931035 40.12666121791872, 116.5316379310345 40.1233265223984, 116.5258620689655 40.12666121791872, 116.5258620689655 40.13333060895936, 116.5316379310345 40.13666530447968))",94
"POLYGON ((116.5431896551724 40.13666530447968, 116.5489655172414 40.13333060895936, 116.5489655172414 40.12666121791872, 116.5431896551724 40.1233265223984, 116.5374137931034 40.12666121791872, 116.5374137931034 40.13333060895936, 116.5431896551724 40.13666530447968))",95
"POLYGON ((116.5547413793103 40.13666530447968, 116.5605172413793 40.13333060895936, 116.5605172413793 40.12666121791872, 116.5547413793103 40.1233265223984, 116.5489655172414 40.12666121791872, 116.5489655172414 40.13333060895936, 116.5547413793103 40.13666530447968))",96
"POLYGON ((116.5662931034483 40.13666530447968, 116.5720689655172 40.13333060895936, 116.5720689655172 40.12666121791872, 116.5662931034483 40.1233265223984, 116.5605172413793 40.12666121791872, 116.5605172413793 40.13333060895936, 116.5662931034483 40.13666530447968))",97
"POLYGON ((116.5778448275862 40.13666530447968, 116.5836206896552 40.13333060895936, 116.5836206896552 40.12666121791872, 116.5778448275862 40.1233265223984, 116.5720689655172 40.12666121791872, 116.5720689655172 40.13333060895936, 116.5778448275862 40.13666530447968))",98
"POLYGON ((116.5893965517241 40.13666530447968, 116.5951724137931 40.13333060895936, 116.5951724137931 40.12666121791872, 116.5893965517241 40.1233265223984, 116.5836206896552 40.12666121791872, 116.5836206896552 40.13333060895936, 116.5893965517241 40.13666530447968))",99
"POLYGON ((116.6009482758621 40.13666530447968, 116.606724137931 40.13333060895936, 116.606724137931 40.12666121791872, 116.6009482758621 40.1233265223984, 116.5951724137931 40.12666121791872, 116.5951724137931 40.13333060895936, 116.6009482758621 40.13666530447968))",100
"POLYGON ((116.6125 40.13666530447968, 116.618275862069 40.13333060895936, 116.618275862069 40.12666121791872, 116.6125 40.1233265223984, 116.606724137931 40.12666121791872, 116.606724137931 40.13333060895936, 116.6125 40.13666530447968))",101
"POLYGON ((116.6240517241379 40.13666530447968, 116.6298275862069 40.13333060895936, 116.6298275862069 40.12666121791872, 116.6240517241379 40.1233265223984, 116.618275862069 40.12666121791872, 116.618275862069 40.13333060895936, 116.6240517241379 40.13666530447968))",102
"POLYGON ((116.6356034482759 40.13666530447968, 116.6413793103448 40.13333060895936, 116.6413793103448 40.12666121791872, 116.6356034482759 40.1233265223984, 116.6298275862069 40.12666121791872, 116.6298275862069 40.13333060895936, 116.6356034482759 40.13666530447968))",103
"POLYGON ((116.6471551724138 40.13666530447968, 116.6529310344828 40.13333060895936, 116.6529310344828 40.12666121791872, 116.6471551724138 40.1233265223984, 116.6413793103448 40.12666121791872, 116.6413793103448 40.13333060895936, 116.6471551724138 40.13666530447968))",104
"POLYGON ((116.6587068965517 40.13666530447968, 116.6644827586207 40.13333060895936, 116.6644827586207 40.12666121791872, 116.6587068965517 40.1233265223984, 116.6529310344827 40.12666121791872, 116.6529310344827 40.13333060895936, 116.6587068965517 40.13666530447968))",105
"POLYGON ((116.6702586206897 40.13666530447968, 116.6760344827586 40.13333060895936, 116.6760344827586 40.12666121791872, 116.6702586206897 40.1233265223984, 116.6644827586207 40.12666121791872, 116.6644827586207 40.13333060895936, 116.6702586206897 40.13666530447968))",106
"POLYGON ((116.6818103448276 40.13666530447968, 116.6875862068966 40.13333060895936, 116.6875862068966 40.12666121791872, 116.6818103448276 40.1233265223984, 116.6760344827586 40.12666121791872, 116.6760344827586 40.13333060895936, 116.6818103448276 40.13666530447968))",107
"POLYGON ((116.6933620689655 40.13666530447968, 116.6991379310345 40.13333060895936, 116.6991379310345 40.12666121791872, 116.6933620689655 40.1233265223984, 116.6875862068965 40.12666121791872, 116.6875862068965 40.13333060895936, 116.6933620689655 40.13666530447968))",108
"POLYGON ((116.7049137931034 40.13666530447968, 116.7106896551724 40.13333060895936, 116.7106896551724 40.12666121791872, 116.7049137931034 40.1233265223984, 116.6991379310345 40.12666121791872, 116.6991379310345 40.13333060895936, 116.7049137931034 40.13666530447968))",109
"POLYGON ((116.7164655172414 40.13666530447968, 116.7222413793103 40.13333060895936, 116.7222413793103 40.12666121791872, 116.7164655172414 40.1233265223984, 116.7106896551724 40.12666121791872, 116.7106896551724 40.13333060895936, 116.7164655172414 40.13666530447968))",110
"POLYGON ((116.7280172413793 40.13666530447968, 116.7337931034483 40.13333060895936, 116.7337931034483 40.12666121791872, 116.7280172413793 40.1233265223984, 116.7222413793103 40.12666121791872, 116.7222413793103 40.13333060895936, 116.7280172413793 40.13666530447968))",111
"POLYGON ((116.7395689655172 40.13666530447968, 116.7453448275862 40.13333060895936, 116.7453448275862 40.12666121791872, 116.7395689655172 40.1233265223984, 116.7337931034483 40.12666121791872, 116.7337931034483 40.13333060895936, 116.7395689655172 40.13666530447968))",112
"POLYGON ((116.7511206896552 40.13666530447968, 116.7568965517241 40.13333060895936, 116.7568965517241 40.12666121791872, 116.7511206896552 40.1233265223984, 116.7453448275862 40.12666121791872, 116.7453448275862 40.13333060895936, 116.7511206896552 40.13666530447968))",113
"POLYGON ((116.7626724137931 40.13666530447968, 116.7684482758621 40.13333060895936, 116.7684482758621 40.12666121791872, 116.7626724137931 40.1233265223984, 116.7568965517241 40.12666121791872, 116.7568965517241 40.13333060895936, 116.7626724137931 40.13666530447968))",114
"POLYGON ((116.774224137931 40.13666530447968, 116.78 40.13333060895936, 116.78 40.12666121791872, 116.774224137931 40.1233265223984, 116.7684482758621 40.12666121791872, 116.7684482758621 40.13333060895936, 116.774224137931 40.13666530447968))",115
"POLYGON ((116.11 40.12666121791872, 116.115775862069 40.12332652239841, 116.115775862069 40.11665713135776, 116.11 40.11332243583745, 116.11 40.12666121791872))",116
"POLYGON ((116.1215517241379 40.12666121791872, 116.1273275862069 40.12332652239841, 116.1273275862069 40.11665713135776, 116.1215517241379 40.11332243583745, 116.115775862069 40.11665713135776, 116.115775862069 40.12332652239841, 116.1215517241379 40.12666121791872))",117
"POLYGON ((116.1331034482759 40.12666121791872, 116.1388793103448 40.12332652239841, 116.1388793103448 40.11665713135776, 116.1331034482759 40.11332243583745, 116.1273275862069 40.11665713135776, 116.1273275862069 40.12332652239841, 116.1331034482759 40.12666121791872))",118
"POLYGON ((116.1446551724138 40.12666121791872, 116.1504310344828 40.12332652239841, 116.1504310344828 40.11665713135776, 116.1446551724138 40.11332243583745, 116.1388793103448 40.11665713135776, 116.1388793103448 40.12332652239841, 116.1446551724138 40.12666121791872))",119
"POLYGON ((116.1562068965517 40.12666121791872, 116.1619827586207 40.12332652239841, 116.1619827586207 40.11665713135776, 116.1562068965517 40.11332243583745, 116.1504310344828 40.11665713135776, 116.1504310344828 40.12332652239841, 116.1562068965517 40.12666121791872))",120
"POLYGON ((116.1677586206897 40.12666121791872, 116.1735344827586 40.12332652239841, 116.1735344827586 40.11665713135776, 116.1677586206897 40.11332243583745, 116.1619827586207 40.11665713135776, 116.1619827586207 40.12332652239841, 116.1677586206897 40.12666121791872))",121
